end_of_degree_in_sight
4
4
4
4
5
4
5
2
2
4
3
3
5
3
3
3
1
3
4
4
4
3
4
4
5
4
2
2
3
3
4
4
4
3
2
5
3
5
1
5
4
5
5
3
2
4
5
2
4
3
